sample_index,max_abs_rate,mean_abs_rate,turning_points,hold_fraction,positive_fraction,negative_fraction,net_change,total_variation,variation_ratio,strain_min,strain_max,strain_range,base_label,loading_class,loading_class_label
0,0.5638152360916138,0.20780320465564728,2,0.085,0.252,0.565,-0.06815621256828308,0.20780321955680847,3.0489255744011525,-0.06972689926624298,9.660422801971436e-05,0.0698235034942627,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
1,0.5405545234680176,0.20860211551189423,2,0.025,0.184,0.718,-0.0857379287481308,0.2086021453142166,2.4330205821111743,-0.08573794364929199,0.016302913427352905,0.1020408570766449,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
2,0.706225574016571,0.20561565458774567,3,0.029,0.366,0.518,-0.0005443543195724487,0.20561568439006805,377.7239871520454,-0.0005443692207336426,0.0704430639743805,0.07098743319511414,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
3,0.6304978728294373,0.2093740999698639,2,0.009,0.749,0.216,0.07352741062641144,0.20937411487102509,2.847565460070332,-0.026634901762008667,0.1148158609867096,0.14145076274871826,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
4,0.694200336933136,0.2007628232240677,0,0.0,0.0,1.0,-0.20076283812522888,0.20076283812522888,0.999999999995019,-0.20076285302639008,-1.4901161193847656e-08,0.20076283812522888,monotonic,monotonic_fast,Monotonic fast
5,0.6410776972770691,0.19745376706123352,2,0.029,0.745,0.136,0.09251545369625092,0.19745378196239471,2.134278913105109,-1.4901161193847656e-08,0.11412984132766724,0.11412985622882843,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
6,0.6744264960289001,0.19424116611480713,2,0.036,0.092,0.756,-0.13188768923282623,0.19424118101596832,1.472777195084481,-0.13188770413398743,-1.4901161193847656e-08,0.13188768923282623,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
7,0.5442053079605103,0.2193910926580429,3,0.05,0.473,0.411,0.018435269594192505,0.2193911075592041,11.900618346065103,-0.07160413265228271,0.01843525469303131,0.09003938734531403,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
8,0.48431751132011414,0.21167029440402985,2,0.013,0.584,0.362,0.08588223159313202,0.21167032420635223,2.4646579423631882,-0.03106585144996643,0.08588221669197083,0.11694806814193726,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
9,0.42813268303871155,0.2157018780708313,1,0.001,0.288,0.707,-0.0649167150259018,0.2157018929719925,3.322748122461289,-0.14030931890010834,-1.4901161193847656e-08,0.14030930399894714,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
10,0.4227757155895233,0.21528348326683044,3,0.012,0.667,0.283,0.06302739679813385,0.21528349816799164,3.415712993098743,-1.4901161193847656e-08,0.09550651907920837,0.09550653398036957,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
11,0.5053877830505371,0.21861304342746735,2,0.018,0.126,0.812,-0.1456127017736435,0.21861304342746735,1.5013322379376102,-0.1456127166748047,-1.4901161193847656e-08,0.1456127017736435,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
12,0.5419999361038208,0.21164001524448395,1,0.017,0.322,0.609,-0.05056248605251312,0.21164004504680634,4.185712799461952,-0.13110128045082092,-1.4901161193847656e-08,0.13110126554965973,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
