parameter,importance
FEATURE_DEPTH,0.004161326445753198
WEIGHT_DECAY,0.020603640334132856
BATCH_SIZE,0.027402589646024406
FEATURE_WIDTH,0.029805625023583276
READOUT_DEPTH,0.03439070396180311
READOUT_WIDTH,0.09544215956422043
GRAD_CLIP_VALUE,0.18739720501729948
LEARNING_RATE,0.19038307096527257
N_HIDDEN,0.41041367904191073
