n_hidden,mean_val_loss,std_val_loss,median_best_epoch,n_runs,within_threshold
0,8.377417998417513e-06,5.6744799474468e-08,207.5,2,False
1,7.924957344584982e-06,4.3137784355742836e-07,203.5,2,False
2,6.349119985316065e-06,6.060304067951304e-07,209.0,2,False
3,4.743610134028131e-06,6.739321978679757e-07,217.5,2,False
