n_hidden,seed,best_val_loss,best_epoch,checkpoint_path,device,search_stage,search_order
0,20260341,0.0398268401622772,65,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h0_seed_20260341.pt,cpu,grid,0
1,20260341,0.035212468355894,197,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h1_seed_20260341.pt,cpu,grid,1
2,20260341,0.0235887710005044,217,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h2_seed_20260341.pt,cpu,grid,2
3,20260341,0.0191351156681776,218,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h3_seed_20260341.pt,cpu,grid,3
4,20260341,0.0185535494238138,212,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h4_seed_20260341.pt,cpu,grid,4
5,20260341,0.019224809482693672,206,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h5_seed_20260341.pt,cpu,grid,5
