n_hidden,mean_val_loss,std_val_loss,median_best_epoch,n_runs,within_threshold,delta_from_prev,ratio_to_prev,ratio_to_h4
0,8.382783865575524e-06,4.118693633630714e-08,205.0,3,False,,,2.5637740522986765
1,8.076250651356531e-06,4.0213482313490216e-07,196.0,3,False,-3.065332142189927e-07,0.9634330051765032,2.470024539799655
2,6.642870933622665e-06,6.652107078762458e-07,209.0,3,False,-1.4333797177338665e-06,0.8225191639522594,2.0316425194175767
3,5.750532788321531e-06,1.8079745570248983e-06,216.0,3,False,-8.923381453011335e-07,0.8656698053872168,1.7587315844006086
4,3.2697046208340907e-06,,218.0,1,False,-2.4808281674874406e-06,0.5685915968472295,1.0
