n_hidden,mean_val_loss,std_val_loss,median_best_epoch,n_runs,within_threshold
0,0.0398268401622772,,65.0,1,False
1,0.035212468355894,,197.0,1,False
2,0.0235887710005044,,217.0,1,False
3,0.0191351156681776,,218.0,1,True
4,0.0185535494238138,,212.0,1,True
5,0.0192248094826936,,206.0,1,True
