n_hidden,mean_val_loss,std_val_loss,median_best_epoch,n_runs,within_threshold
0,8.382783865575524e-06,4.118693633630714e-08,205.0,3,False
1,8.076250651356531e-06,4.0213482313490216e-07,196.0,3,False
2,6.642870933622665e-06,6.652107078762458e-07,209.0,3,False
3,5.750532788321531e-06,1.8079745570248983e-06,216.0,3,False
