search_order,search_stage,n_hidden,mean_val_loss,threshold_limit,is_acceptable
0,grid,0,8.382783865575524e-06,8.778300497169767e-07,False
1,grid,1,8.076250651356531e-06,8.778300497169767e-07,False
2,grid,2,6.642870933622665e-06,8.778300497169767e-07,False
3,grid,3,5.750532788321531e-06,8.778300497169767e-07,False
