model_label,component,explained_variance_ratio,cumulative_explained_variance
best_rnn,1,0.8884547352790833,0.8884547352790833
best_rnn,2,0.09676283597946167,0.9852175712585449
best_rnn,3,0.010727925226092339,0.9959455132484436
best_rnn,4,0.0016504075611010194,0.9975959062576294
best_rnn,5,0.0014358866028487682,0.9990317821502686
best_rnn,6,0.00029119360260665417,0.9993229508399963
best_rnn,7,0.000184636635822244,0.9995076060295105
best_rnn,8,0.000129781270516105,0.9996373653411865
best_rnn,9,0.00011869715672219172,0.9997560381889343
best_rnn,10,7.377371366601437e-05,0.9998298287391663
best_rnn,11,4.8447345761815086e-05,0.9998782873153687
best_rnn,12,4.048039409099147e-05,0.9999187588691711
best_rnn,13,2.7273108571534976e-05,0.9999460577964783
best_rnn,14,1.1075233487645164e-05,0.9999571442604065
best_rnn,15,1.0375629244663287e-05,0.9999675154685974
best_rnn,16,7.234984423121205e-06,0.9999747276306152
best_rnn,17,5.476804744830588e-06,0.9999802112579346
best_rnn,18,4.910255483991932e-06,0.9999850988388062
best_rnn,19,3.359892616572324e-06,0.9999884366989136
best_rnn,20,2.491955228833831e-06,0.9999909400939941
best_rnn,21,1.9103913473372813e-06,0.999992847442627
best_rnn,22,1.3671520946445526e-06,0.9999942183494568
best_rnn,23,1.1178768772879266e-06,0.9999953508377075
best_rnn,24,9.071650310943369e-07,0.9999962449073792
best_rnn,25,8.62807837620494e-07,0.999997079372406
best_rnn,26,5.889870067221636e-07,0.9999976754188538
best_rnn,27,3.8465839224954834e-07,0.9999980330467224
best_rnn,28,3.410126510061673e-07,0.9999983906745911
best_rnn,29,2.9906553322689433e-07,0.9999986886978149
best_rnn,30,2.462470831687824e-07,0.999998927116394
best_rnn,31,2.0795351929336903e-07,0.9999991059303284
best_rnn,32,1.7079106839901215e-07,0.9999992847442627
best_rnn,33,1.0265674887932619e-07,0.9999994039535522
best_rnn,34,9.323108685066472e-08,0.9999995231628418
best_rnn,35,7.546415758952207e-08,0.9999995827674866
best_rnn,36,6.997584023338277e-08,0.9999996423721313
best_rnn,37,4.70735130875255e-08,0.9999997019767761
best_rnn,38,3.207645704605966e-08,0.9999997615814209
best_rnn,39,3.143637528069121e-08,0.9999998211860657
best_rnn,40,2.512974184298855e-08,0.9999998211860657
best_rnn,41,1.9144099638879197e-08,0.9999998211860657
best_rnn,42,1.629513235457125e-08,0.9999998211860657
best_rnn,43,1.0625181623424851e-08,0.9999998211860657
best_rnn,44,7.731134843425025e-09,0.9999998211860657
best_rnn,45,6.621319048605301e-09,0.9999998211860657
best_rnn,46,1.4969071537862533e-09,0.9999998211860657
best_rnn,47,0.0,0.9999998211860657
best_rnn,48,0.0,0.9999998211860657
best_gru,1,0.869779646396637,0.869779646396637
best_gru,2,0.12235742807388306,0.99213707447052
best_gru,3,0.0031546601094305515,0.9952917098999023
best_gru,4,0.002021956257522106,0.9973136782646179
best_gru,5,0.0008017976651899517,0.9981154799461365
best_gru,6,0.0005808053538203239,0.9986962676048279
best_gru,7,0.000330827955622226,0.9990270733833313
best_gru,8,0.00029076202190481126,0.9993178248405457
best_gru,9,0.00024674300220794976,0.9995645880699158
best_gru,10,0.00011898294178536162,0.9996835589408875
best_gru,11,8.421918755630031e-05,0.9997677803039551
best_gru,12,5.3632556955562904e-05,0.9998214244842529
best_gru,13,4.51397972938139e-05,0.9998665452003479
best_gru,14,3.4898162994068116e-05,0.9999014139175415
best_gru,15,2.635419696161989e-05,0.9999277591705322
best_gru,16,1.7144793673651293e-05,0.9999449253082275
best_gru,17,1.3105699508741964e-05,0.9999580383300781
best_gru,18,9.303688784711994e-06,0.9999673366546631
best_gru,19,7.507280770369107e-06,0.9999748468399048
best_gru,20,5.057258022134192e-06,0.9999799132347107
best_gru,21,4.441390046849847e-06,0.9999843835830688
best_gru,22,3.7828617678314913e-06,0.9999881386756897
best_gru,23,3.0669671104988083e-06,0.9999911785125732
best_gru,24,2.177009037040989e-06,0.9999933838844299
best_gru,25,1.3677121160071692e-06,0.9999947547912598
best_gru,26,1.0317745591237326e-06,0.999995768070221
best_gru,27,9.215310683430289e-07,0.9999966621398926
best_gru,28,6.707003876726958e-07,0.9999973177909851
best_gru,29,5.450849585031392e-07,0.9999978542327881
best_gru,30,4.786949148183339e-07,0.9999983310699463
best_gru,31,3.8961630366429745e-07,0.9999987483024597
best_gru,32,2.9912015975241957e-07,0.9999990463256836
best_gru,33,2.1610981093544979e-07,0.9999992847442627
best_gru,34,1.8793288347751513e-07,0.999999463558197
best_gru,35,1.3989722447149688e-07,0.9999995827674866
best_gru,36,1.1864040772024964e-07,0.9999997019767761
best_gru,37,8.493785230712092e-08,0.9999997615814209
best_gru,38,7.90396086358669e-08,0.9999998211860657
best_gru,39,4.1634478975538514e-08,0.9999998807907104
best_gru,40,2.819464661740767e-08,0.9999998807907104
best_lstm,1,0.8518877029418945,0.8518877029418945
best_lstm,2,0.07610137015581131,0.9279890656471252
best_lstm,3,0.044850338250398636,0.9728394150733948
best_lstm,4,0.013360243290662766,0.986199676990509
best_lstm,5,0.005923065356910229,0.9921227693557739
best_lstm,6,0.0026284833438694477,0.9947512745857239
best_lstm,7,0.0016085996758192778,0.9963598847389221
best_lstm,8,0.0013489756966009736,0.9977088570594788
best_lstm,9,0.0007489129202440381,0.9984577894210815
best_lstm,10,0.00034968560794368386,0.9988074898719788
best_lstm,11,0.00030444786534644663,0.9991119503974915
best_lstm,12,0.00021669913257937878,0.9993286728858948
best_lstm,13,0.00017766104429028928,0.9995063543319702
best_lstm,14,0.0001448265102226287,0.9996511936187744
best_lstm,15,0.00010268793994328007,0.9997538924217224
best_lstm,16,6.77288553561084e-05,0.9998216032981873
best_lstm,17,5.6151871831389144e-05,0.9998777508735657
best_lstm,18,3.9763592212693766e-05,0.9999175071716309
best_lstm,19,2.5507573809591122e-05,0.9999430179595947
best_lstm,20,1.728762981656473e-05,0.9999603033065796
best_lstm,21,1.480024729971774e-05,0.9999750852584839
best_lstm,22,1.1756422281905543e-05,0.9999868273735046
best_lstm,23,7.10165068085189e-06,0.9999939203262329
best_lstm,24,6.223304808372632e-06,1.0000001192092896
baseline_rno,1,0.7299050688743591,0.7299050688743591
baseline_rno,2,0.2615322768688202,0.9914373159408569
baseline_rno,3,0.006669898051768541,0.9981071949005127
baseline_rno,4,0.0018741813255473971,0.9999814033508301
baseline_rno,5,1.42908793350216e-05,0.9999957084655762
baseline_rno,6,3.4807553674909286e-06,0.9999991655349731
baseline_rno,7,2.4884661797841545e-07,0.9999994039535522
baseline_rno,8,1.347558225006651e-07,0.9999995231628418
baseline_rno,9,1.156590982986927e-07,0.9999996423721313
baseline_rno,10,1.117198493716387e-07,0.9999997615814209
baseline_rno,11,7.438262628056691e-08,0.9999998211860657
baseline_rno,12,5.713595285783413e-08,0.9999998807907104
baseline_rno,13,4.4035129320718625e-08,0.9999999403953552
baseline_rno,14,4.103818795897496e-08,1.0
baseline_rno,15,2.1824480000987023e-08,1.0
baseline_rno,16,1.610007238639355e-08,1.0
baseline_rno,17,1.1977120628614557e-08,1.0
baseline_rno,18,1.0092154667518116e-08,1.0
baseline_rno,19,8.753363367475231e-09,1.0
baseline_rno,20,4.960811761378636e-09,1.0
baseline_rno,21,2.6161635080512724e-09,1.0
baseline_rno,22,1.2569529861394813e-09,1.0
baseline_rno,23,2.0430639124935368e-10,1.0
baseline_rno,24,0.0,1.0
baseline_rno,25,0.0,1.0
baseline_rno,26,0.0,1.0
baseline_rno,27,0.0,1.0
baseline_rno,28,0.0,1.0
baseline_rno,29,0.0,1.0
baseline_rno,30,0.0,1.0
baseline_rno,31,0.0,1.0
baseline_rno,32,0.0,1.0
baseline_rno,33,0.0,1.0
baseline_rno,34,0.0,1.0
baseline_rno,35,0.0,1.0
baseline_rno,36,0.0,1.0
baseline_rno,37,0.0,1.0
baseline_rno,38,0.0,1.0
baseline_rno,39,0.0,1.0
baseline_rno,40,0.0,1.0
paper_rno_no_rate_h3,1,0.6978006958961487,0.6978006958961487
paper_rno_no_rate_h3,2,0.2952664792537689,0.9930671453475952
paper_rno_no_rate_h3,3,0.006932863034307957,1.0
paper_rno_with_rate_h5,1,0.6067424416542053,0.6067424416542053
paper_rno_with_rate_h5,2,0.3909449875354767,0.9976874589920044
