variant,paper_use_rate_in_stress,batch_size,min_epochs,early_stopping_patience,n_hidden,seed,best_val_loss,best_epoch,n_epochs_completed,total_seconds,test_rmse,test_mae,test_r2,test_nrmse,test_relative_l2,checkpoint_path,history_path,summary_path
paper_rno_no_rate,False,32,50,25,0,20260341,0.03982684016227722,65,90,115.80339995799932,0.24439608369546226,0.19832493364810944,0.4750632643699646,0.103405889087234,0.720946803104349,artifacts/checkpoints/08_paper_rno_h0_no_rate.pt,artifacts/logs/08_paper_rno_h0_no_rate_history.csv,artifacts/logs/08_paper_rno_h0_no_rate_summary.json
paper_rno_with_rate,True,32,50,25,0,20260341,8.739460099604912e-06,219,220,300.60761383299996,0.003881083524632337,0.0022782194428145885,0.9998676180839539,0.0016421167083287194,0.011448853464249608,artifacts/checkpoints/08_paper_rno_h0_with_rate.pt,artifacts/logs/08_paper_rno_h0_with_rate_history.csv,artifacts/logs/08_paper_rno_h0_with_rate_summary.json
