sample_index,sample_rmse,sample_mae,sample_max_abs_error,sample_relative_l2,model_label,model_color,checkpoint_path,max_abs_rate,mean_abs_rate,turning_points,hold_fraction,positive_fraction,negative_fraction,net_change,total_variation,variation_ratio,strain_min,strain_max,strain_range,base_label,loading_class,loading_class_label
10,0.00040253199404105544,0.00031066793599165976,0.003686070442199707,0.0013061438221484423,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.4227757155895233,0.21528348326683044,3,0.012,0.667,0.283,0.06302739679813385,0.21528349816799164,3.415712993098743,-1.4901161193847656e-08,0.09550651907920837,0.09550653398036957,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
11,0.00040109484689310193,0.0002559076528996229,0.0048351287841796875,0.001054489752277732,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.5053877830505371,0.21861304342746735,2,0.018,0.126,0.812,-0.1456127017736435,0.21861304342746735,1.5013322379376102,-0.1456127166748047,-1.4901161193847656e-08,0.1456127017736435,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
12,0.0005656421417370439,0.00023931586474645883,0.00849848985671997,0.0017615760443732142,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.5419999361038208,0.21164001524448395,1,0.017,0.322,0.609,-0.05056248605251312,0.21164004504680634,4.185712799461952,-0.13110128045082092,-1.4901161193847656e-08,0.13110126554965973,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
13,0.001331457169726491,0.000454221066320315,0.020852088928222656,0.00420653261244297,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.6879120469093323,0.20400647819042206,1,0.076,0.569,0.267,0.07650463283061981,0.20400650799274445,2.6665902500538157,-0.06375095248222351,0.07650461792945862,0.14025557041168213,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
14,0.0005570888752117753,0.0003354462387505919,0.008316874504089355,0.0018134036799892783,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.661238968372345,0.20742353796958923,1,0.004,0.186,0.797,-0.09072728455066681,0.20742355287075043,2.286231246705374,-0.090727299451828,0.058348119258880615,0.14907541871070862,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
15,0.000989060616120696,0.00031945662340149283,0.014580368995666504,0.0025680449325591326,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.6678997874259949,0.19373033940792084,2,0.03,0.796,0.081,0.13536502420902252,0.19373036921024323,1.4311700554913305,-1.4901161193847656e-08,0.13536500930786133,0.13536502420902252,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
16,0.0004458258918020874,0.00025620823726058006,0.006832003593444824,0.0011230946984142065,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.560373067855835,0.21004925668239594,1,0.007,0.915,0.056,0.1618543416261673,0.21004925668239594,1.2977672058142622,-0.024097472429275513,0.1618543267250061,0.18595179915428162,mixed_complex,mixed_complex,Mixed / complex
17,0.002648080699145794,0.00048367894487455487,0.05659031867980957,0.007672170177102089,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.9201168417930603,0.2023504078388214,2,0.029,0.633,0.232,0.09878508746623993,0.2023504227399826,2.0483903788321087,-1.4901161193847656e-08,0.10436782240867615,0.10436783730983734,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
18,0.0006060713203623891,0.0003296584472991526,0.0103379487991333,0.002008651616051793,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.5482584238052368,0.20933890342712402,2,0.015,0.428,0.51,-0.0708245187997818,0.20933891832828522,2.9557407783753895,-0.08682352304458618,-1.4901161193847656e-08,0.08682350814342499,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
19,0.0005354316672310233,0.0002743176301009953,0.009151458740234375,0.0014642546884715557,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.5687475204467773,0.20617105066776276,1,0.022,0.774,0.136,0.13032202422618866,0.20617108047008514,1.5820125699603147,-0.037924543023109436,0.13032200932502747,0.1682465523481369,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
20,0.0018846720922738314,0.0005044087884016335,0.04401063919067383,0.00682869553565979,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.8682458996772766,0.1937498152256012,4,0.037,0.221,0.612,-0.031318724155426025,0.19374984502792358,6.18639009878599,-0.04667730629444122,0.03455863893032074,0.08123594522476196,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
21,0.0013789328513666987,0.0004935409524478018,0.026226520538330078,0.004861262161284685,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.7595121264457703,0.18202048540115356,1,0.048,0.592,0.217,0.031134411692619324,0.18202050030231476,5.846280382411015,-0.07544305920600891,0.03113439679145813,0.10657745599746704,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
22,0.004959404468536377,0.0010906531242653728,0.07507002353668213,0.012738844379782677,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,1.0570287704467773,0.19396546483039856,4,0.181,0.585,0.045,0.1329735368490219,0.19396547973155975,1.4586773002084572,-1.4901161193847656e-08,0.13297352194786072,0.1329735368490219,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
23,0.00033229225664399564,0.0002363510720897466,0.0037134885787963867,0.0011295913718640804,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.5555003881454468,0.21897177398204803,2,0.01,0.555,0.407,0.03526715934276581,0.21897177398204803,6.208942768756219,-1.4901161193847656e-08,0.09745627641677856,0.09745629131793976,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
24,0.0007397079025395215,0.0003213872842025012,0.010613799095153809,0.002174550201743841,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.5878210067749023,0.21140114963054657,2,0.057,0.147,0.731,-0.10237147659063339,0.21140119433403015,2.0650400030598712,-0.10237149149179459,-1.4901161193847656e-08,0.10237147659063339,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
25,0.0004506343975663185,0.0002860561653506011,0.003873884677886963,0.0012245235266163945,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.4619508683681488,0.21460361778736115,2,0.014,0.241,0.699,-0.1131410002708435,0.21460363268852234,1.8967804082772373,-0.13230746984481812,-1.4901161193847656e-08,0.13230745494365692,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
26,0.0004910925053991377,0.0003239143406972289,0.004724860191345215,0.0015895101241767406,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.48345324397087097,0.2032444179058075,1,0.016,0.308,0.625,-0.01613938808441162,0.2032444328069687,12.59306931163525,-0.10969192534685135,-1.4901161193847656e-08,0.10969191044569016,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
27,0.0019104612292721868,0.0004762470780406147,0.031134605407714844,0.005967687349766493,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.8117108941078186,0.20170684158802032,2,0.033,0.312,0.551,-0.0812375396490097,0.2017068713903427,2.4829268865027547,-0.0849495530128479,-1.4901161193847656e-08,0.0849495381116867,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
28,0.0015522603644058108,0.0004748351639136672,0.0286790132522583,0.004510773345828056,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.7430165410041809,0.2020135521888733,4,0.1,0.165,0.611,-0.08777198195457458,0.20201358199119568,2.301572523375899,-0.10397513210773468,-1.4901161193847656e-08,0.10397511720657349,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
29,0.0005252513801679015,0.00029585868469439447,0.008437514305114746,0.0017308697570115328,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.493913859128952,0.2119446098804474,2,0.008,0.636,0.33,0.09208811819553375,0.21194462478160858,2.3015414901765934,-0.029208078980445862,0.09208810329437256,0.12129618227481842,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
30,0.0010219395626336336,0.0004163435660302639,0.015585899353027344,0.0035895295441150665,best_gru,#2ca02c,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt,0.8429139256477356,0.20877626538276672,3,0.041,0.322,0.517,-0.04870288074016571,0.20877628028392792,4.286733702539724,-0.048702895641326904,0.02436685562133789,0.0730697512626648,cyclic_or_reversing,cyclic_or_reversing,Cyclic / reversing
