epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_relative_l2,val_residual_mean,val_residual_std
1,0.03428730878254606,0.006447521038353443,0.0,0.0020246394393832255,0.09937333676157901,0.08269691467285156,0.9142196178436279,0.041811490649030815,0.2924234901574718,-0.05825424939393997,0.08050777018070221
2,0.00448288887532221,0.000519668566994369,0.0,0.0020246394393832255,0.02821218158448908,0.020777663215994835,0.9930860996246338,0.011870320600572748,0.08301931316546811,0.010458139702677727,0.026202185079455376
3,0.0014848609441994792,0.00048579651047475636,0.0,0.0020246394393832255,0.02727725253799399,0.022480003535747528,0.9935367703437805,0.011476947706404717,0.08026813422790004,-0.016514776274561882,0.021709689870476723
4,0.0006445916304882201,0.0003491044044494629,0.0,0.0020246394393832255,0.02312336700463377,0.01779581792652607,0.9953553676605225,0.009729193713279414,0.06804458226734549,0.011951013468205929,0.01979554072022438
5,0.0003102527666164355,0.00021700648358091712,0.0,0.0020246394393832255,0.01823097023883119,0.014576990157365799,0.9971128702163696,0.007670709935930878,0.0536478460713706,-0.01171464379876852,0.013969087973237038
6,0.00013575813985274485,8.102502761175856e-05,0.0,0.0020246394393832255,0.01113994476061851,0.007047520484775305,0.9989219903945923,0.004687149605400042,0.032781251457890084,0.0024076506961137056,0.010876652784645557
7,8.461345633905794e-05,5.613650500890799e-05,0.0,0.0020246394393832255,0.009272486268340872,0.005685447249561548,0.9992531538009644,0.0039014134529081965,0.02728592525300723,0.0016885052900761366,0.009117452427744865
8,6.685979517189683e-05,6.577878230018541e-05,0.0,0.0020246394393832255,0.010037287668155934,0.0066894651390612125,0.9991248250007629,0.004223204867173121,0.029536489367679216,-0.004853399936109781,0.008785877376794815
9,5.7060981715848255e-05,4.210984843666665e-05,0.0,0.0020246394393832255,0.008030918541674354,0.004405216779559851,0.9994397759437561,0.0033790218427904375,0.023632392551037495,-0.0016798132564872503,0.007853271439671516
10,4.6222745570250685e-05,4.0126105886884034e-05,0.0,0.0020246394393832255,0.007839474824147076,0.00498632388189435,0.9994661211967468,0.00329847159192775,0.023069032602111423,0.003216848708689213,0.007149072829633951
11,3.5509184171031746e-05,3.054669650737196e-05,0.0,0.0020246394393832255,0.006839991542460146,0.004073161631822586,0.9995936155319214,0.0028779373998800394,0.020127882566627123,0.0008775961468927562,0.006783458404242992
12,2.8694561478914693e-05,2.5793891836656258e-05,0.0,0.0020246394393832255,0.006285385188586087,0.0035832328721880913,0.9996568560600281,0.002644585887949488,0.018495856246744522,0.001630132901482284,0.00607031537219882
13,2.530634467095499e-05,2.1921723600826226e-05,0.0,0.0020246394393832255,0.005794430971165127,0.003168882569298148,0.999708354473114,0.0024380161144090338,0.01705113586421983,0.000302629719953984,0.0057865227572619915
14,2.3239436308762783e-05,2.3292352125281468e-05,0.0,0.0020246394393832255,0.005972829885941794,0.0037214457988739014,0.9996901154518127,0.0025130777436152473,0.017576106617054332,0.0021220820490270853,0.005583140999078751
15,2.3333983537870357e-05,1.969921140698716e-05,0.0,0.0020246394393832255,0.005492851625935022,0.0032142321579158306,0.9997379183769226,0.002311126121741457,0.01616368179377238,0.0008830591104924679,0.0054214042611420155
16,2.0319092477115595e-05,1.712903394945897e-05,0.0,0.0020246394393832255,0.0051220031951847095,0.003040294861420989,0.9997721314430237,0.0021550910503648517,0.015072396644815769,-2.7828025849885307e-05,0.005121927708387375
17,1.795701134849676e-05,1.613261156307999e-05,0.0,0.0020246394393832255,0.004970793341197842,0.002923820400610566,0.9997853636741638,0.002091469262045697,0.014627435128989532,-0.00010479643970029429,0.004969688132405281
