epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_residual_mean,val_residual_std
1,0.01179428351876725,0.0010598012013360858,0.02983695653260478,0.0020246394393832255,0.040288923319804944,0.034029051661491394,0.9858999848365784,0.016951629033924543,-0.026806101202964783,0.030077068135142326
2,0.00042014963754419504,4.851050834986381e-05,0.005384600360625142,0.0020246394393832255,0.008619683053474287,0.0054589384235441685,0.9993546009063721,0.003626745454393282,-0.0021128172520548105,0.008356730453670025
3,5.255296200630255e-05,2.5796336558414623e-05,0.0012445033203857647,0.0020246394393832255,0.006285681816412173,0.003721651853993535,0.9996567964553833,0.0026447106945825427,-0.0005856695934198797,0.00625833822414279
4,2.8028923822733176e-05,1.8265569451614283e-05,0.0007211393526198255,0.0020246394393832255,0.005289199846951678,0.0032732770778238773,0.9997569918632507,0.0022254393094625242,-0.0007935122703202069,0.005229338072240353
5,1.8859006143299797e-05,1.6411553588113748e-05,0.000281521977211557,0.0020246394393832255,0.005013584068810799,0.0032819940242916346,0.9997816681861877,0.0021094735292441205,0.0011107774917036295,0.004888987168669701
6,1.6559104525575615e-05,1.3301787475938909e-05,0.0003142603301627064,0.0020246394393832255,0.004513655608744489,0.002818287815898657,0.9998230338096619,0.0018991278287329488,-0.0002752482832875103,0.00450525525957346
7,1.7199321207174634e-05,1.7676329662208445e-05,0.00048765026991177783,0.0020246394393832255,0.005203186940939254,0.0037659751251339912,0.9997648000717163,0.002189249241456024,-0.0025655326899141073,0.00452671991661191
8,1.4559174633177464e-05,1.2971528121852316e-05,0.00033934576152212055,0.0020246394393832255,0.00445727134444166,0.0030154103878885508,0.9998274445533752,0.001875404059193978,0.0014466997236013412,0.00421596085652709
9,1.839011048494805e-05,1.2801524462702218e-05,0.0006499060606039864,0.0020246394393832255,0.004427965206151056,0.003048673737794161,0.9998297095298767,0.0018630734545566734,-0.00032989142346195877,0.004415659699589014
10,1.445731109665108e-05,1.6926594980759546e-05,0.00048277214360387864,0.0020246394393832255,0.005091645293788045,0.003790076356381178,0.9997748136520386,0.0021423179147156356,-0.0011199775617569685,0.004966940730810165
11,1.826919597078813e-05,2.679375756997615e-05,0.000723083363941512,0.0020246394393832255,0.0064060483886596254,0.005386337637901306,0.9996435046195984,0.0026953551226956388,-0.004880030173808336,0.004150031600147486
12,1.7927369767026642e-05,1.085829262592597e-05,0.0006975339383614334,0.0020246394393832255,0.004078064818390381,0.0027634252328425646,0.9998555183410645,0.0017158523058289383,0.00011484893184388056,0.0040764473378658295
13,4.137998740978739e-05,3.119234315818176e-05,0.0014258920413329035,0.0020246394393832255,0.006911898546012952,0.005773628130555153,0.9995850324630737,0.002908192386827508,-0.005356485955417156,0.004368340130895376
14,2.87086315178645e-05,1.6540134311071597e-05,0.0011186966848004594,0.0020246394393832255,0.0050331849585377566,0.003833571681752801,0.9997799396514893,0.0021177206349994363,-0.0003035429981537163,0.005024023819714785
15,3.9512795878441205e-05,4.533527680905536e-05,0.0015147097952047325,0.0020246394393832255,0.008332813914665215,0.006878315005451441,0.9993968605995178,0.0035060448046446615,0.006361812353134155,0.005381740629673004
