epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_relative_l2,val_residual_mean,val_residual_std
1,0.0388253559358418,0.007469384931027889,0.0,0.0020246394393832255,0.10695863456690466,0.09706997126340866,0.9006243944168091,0.045003016853070975,0.31474468672674544,-0.09529944509267807,0.04856095835566521
2,0.005778633898848461,0.003465609159320593,0.0,0.0020246394393832255,0.07285565423596697,0.06839533895254135,0.953892171382904,0.030654133242247302,0.21439059071666922,-0.06543460488319397,0.03203526511788368
3,0.0019363065948709846,0.00046865412150509655,0.0,0.0020246394393832255,0.026791664753841073,0.016739876940846443,0.9937648177146912,0.011272635868259384,0.07883919572036337,0.0007313633686862886,0.026781680062413216
4,0.0007125542098138896,0.0002466677688062191,0.0,0.0020246394393832255,0.019437017211138982,0.012410751543939114,0.9967182278633118,0.008178156131744198,0.05719685464195411,0.004648904781788588,0.018872873857617378
5,0.00032887368676407885,0.00032483323593623936,0.0,0.0020246394393832255,0.02230507478277553,0.01718708500266075,0.9956783056259155,0.009384895949941865,0.06563660612262051,0.007675419561564922,0.02094288170337677
6,0.0002143401280692261,0.00022042436467017978,0.0,0.0020246394393832255,0.0183739795261054,0.013040002435445786,0.997067391872406,0.007730881322667507,0.054068675066741005,0.008390913717448711,0.016346121206879616
7,0.0001274880907860481,8.619090658612549e-05,0.0,0.0020246394393832255,0.011489581931552329,0.005909292493015528,0.9988532662391663,0.004834260005226176,0.03381011513814405,-0.000938389974180609,0.011451196856796741
8,7.771730654187397e-05,7.984690455486998e-05,0.0,0.0020246394393832255,0.011058659995005939,0.006919627543538809,0.9989376664161682,0.004652948910041761,0.03254205723608879,-0.004511599894613028,0.010096505284309387
9,5.5271344940087554e-05,5.316447277436964e-05,0.0,0.0020246394393832255,0.009023690369807363,0.004646736662834883,0.9992926716804504,0.003796732180002877,0.026553798057441947,-0.0010314377723261714,0.00896454881876707
10,4.07755695859022e-05,4.6571494749514386e-05,0.0,0.0020246394393832255,0.008445659195981914,0.004990758839994669,0.9993804097175598,0.0035535246375487392,0.024852838455284052,-0.0001184195643872954,0.008444828912615776
11,3.5735047478940236e-05,3.8223322917474434e-05,0.0,0.0020246394393832255,0.007651343482920474,0.00394836999475956,0.9994914531707764,0.0032193150287003498,0.022515426768479677,0.0007537436322309077,0.0076141273602843285
12,2.925441731349565e-05,3.434567042859271e-05,0.0,0.0020246394393832255,0.0072528634060777634,0.003873057896271348,0.9995430707931519,0.0030516538979615477,0.021342827728420957,0.0008302921196445823,0.007205181289464235
13,2.8010715646410568e-05,3.647994526545517e-05,0.0,0.0020246394393832255,0.00747481558038161,0.004908510949462652,0.999514639377594,0.003145040630890751,0.0219959653507703,-0.0021960539743304253,0.007144943345338106
14,2.643566080627756e-05,2.8336258765193634e-05,0.0,0.0020246394393832255,0.006587865383347656,0.003530961461365223,0.9996230006217957,0.002771854914500684,0.019385956860293412,0.001034748973324895,0.006506094243377447
15,2.5172088498948142e-05,2.6545016226009466e-05,0.0,0.0020246394393832255,0.006376243372175526,0.0037699732929468155,0.9996468424797058,0.0026828146142591647,0.01876321868080894,-0.0011488699819892645,0.006271887570619583
16,2.1212143817845368e-05,2.2417070795199834e-05,0.0,0.0020246394393832255,0.005859531460103595,0.003161915112286806,0.999701738357544,0.002465407249427763,0.017242702334979675,-0.00010950007708743215,0.005858507938683033
17,1.9739664922882286e-05,2.2621738025918603e-05,0.0,0.0020246394393832255,0.00588621848897059,0.0034701211843639612,0.999699056148529,0.0024766358595789944,0.017321236496558028,-0.0008669453673064709,0.0058220247738063335
18,1.8930756090816834e-05,2.139925527444575e-05,0.0,0.0020246394393832255,0.005724964668990521,0.0032594692893326283,0.999715268611908,0.002408788056476704,0.016846719051874903,0.0003535181749612093,0.005714039318263531
19,1.9213655630462905e-05,1.875496491265949e-05,0.0,0.0020246394393832255,0.005359589756260961,0.0028958218172192574,0.9997504949569702,0.002255055976576485,0.01577153800312159,-0.0001901988434838131,0.0053562140092253685
20,1.8149885969857376e-05,1.8696948245633394e-05,0.0,0.0020246394393832255,0.005351293403007856,0.0030964429024606943,0.9997512698173523,0.002251565272653606,0.01574712335658839,-0.0012953474652022123,0.005192149430513382
21,1.7296349243325596e-05,1.7070384274120443e-05,0.0,0.0020246394393832255,0.005113227279883603,0.002880129497498274,0.9997729063034058,0.002151398569941966,0.015046572800007773,-0.0006616878672502935,0.0050702327862381935
22,1.6813889993095978e-05,1.6332822269760072e-05,0.0,0.0020246394393832255,0.005001543474919995,0.002793947234749794,0.9997826814651489,0.0021044074300742596,0.014717920265774335,0.0004790841485373676,0.004978545475751162
