epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_residual_mean,val_residual_std
1,0.01691260728652456,0.0008541709394194186,0.011154938678401245,0.0020246394393832255,0.03616977907776022,0.0306740403175354,0.988635778427124,0.015218492494779457,0.028273100033402443,0.02255847491323948
2,0.00016027618559227058,4.223074211040512e-05,0.0011166329972240813,0.0020246394393832255,0.0080424399466956,0.005674542393535376,0.9994381666183472,0.003383869492411636,0.0018463034648448229,0.007827643305063248
3,2.787568009807728e-05,2.5069533876376227e-05,0.00021952220173255803,0.0020246394393832255,0.006196500760584885,0.00400593550875783,0.9996664524078369,0.002607187622465727,-0.0007304580067284405,0.006153295747935772
4,2.281027430269335e-05,2.0273777408874594e-05,0.0002476995984679972,0.0020246394393832255,0.005572381297528613,0.003728225128725171,0.9997302889823914,0.0023445883584794066,-0.00028683734126389027,0.005564994178712368
5,2.1491588839645763e-05,2.781120565487072e-05,0.00025009607263413514,0.0020246394393832255,0.00652654402451318,0.0049933623522520065,0.9996299743652344,0.0027460538545277754,-0.0017292413394898176,0.0062932902947068214
6,2.553447866375791e-05,1.7736339941620827e-05,0.00035488248755515044,0.0020246394393832255,0.005212011883804752,0.003461603308096528,0.9997640252113342,0.002192962350305174,0.0008961464045569301,0.0051343925297260284
7,2.553920333282024e-05,1.3736988876189571e-05,0.0004599940720811632,0.0020246394393832255,0.004586899842411184,0.0029239340219646692,0.9998172521591187,0.0019299454573932205,-0.0002771950967144221,0.004578516818583012
8,1.6705646027860764e-05,1.9079199773841538e-05,0.0002332850788819121,0.0020246394393832255,0.005405718782690463,0.0037722685374319553,0.9997461438179016,0.0022744648383502776,-4.910988354822621e-05,0.005405495408922434
9,1.8358497540508064e-05,2.2923593860468827e-05,0.0002754263481200326,0.0020246394393832255,0.005925360802229555,0.004498103633522987,0.9996950030326843,0.0024931050505928296,-0.0007100852089934051,0.005882659461349249
10,2.4118935263166868e-05,1.449559840693837e-05,0.000410043330945223,0.0020246394393832255,0.0047118510757199325,0.0032135690562427044,0.9998071193695068,0.001982518888992968,-0.000693814130499959,0.0046604895032942295
11,2.6205116721809776e-05,1.883762342913542e-05,0.0004638004976232028,0.0020246394393832255,0.0053713860080057164,0.003906313329935074,0.9997493624687195,0.002260019268396934,0.0005299217300489545,0.005345182027667761
12,4.33638235595676e-05,7.105194526957348e-05,0.0006425502327890688,0.0020246394393832255,0.010431850981140389,0.009199353866279125,0.9990546703338623,0.004389218013243492,0.0008511669002473354,0.010397068224847317
13,0.00036697182908288335,0.00017396442126482725,0.001672464994852617,0.0020246394393832255,0.016323138185889246,0.013131356798112392,0.9976854920387268,0.006867986543106811,-0.003587996121495962,0.015923913568258286
14,0.0002146618245335828,3.3421103580622e-05,0.0012829266485097665,0.0020246394393832255,0.007154575317553117,0.005019582808017731,0.9995553493499756,0.003010299027246889,-0.0017686649225652218,0.006932515650987625
15,7.653710105971965e-05,9.185357339447364e-05,0.0007924172132851262,0.0020246394393832255,0.011861006008842203,0.009498443454504013,0.9987779259681702,0.00499053728080655,-0.0024420516565442085,0.01160688791424036
16,8.038851909597205e-05,3.570090848370455e-05,0.0008927081776273106,0.0020246394393832255,0.007394573935618779,0.0057262033224105835,0.9995250105857849,0.0031112788303011875,0.004103805869817734,0.006151301320642233
17,2.8881155334862083e-05,1.9112943846266717e-05,0.00048064940659852794,0.0020246394393832255,0.005410498747190452,0.004034094046801329,0.9997457265853882,0.0022764760160716565,0.0013422053307294846,0.0052413721568882465
18,1.3261907640428814e-05,1.1237329090363346e-05,0.000161983704636046,0.0020246394393832255,0.0041486319153564155,0.0025751099456101656,0.9998505115509033,0.0017455435249333507,8.522586722392589e-05,0.004147756844758987
19,1.3113014860469515e-05,1.410489494446665e-05,0.00018061117853744832,0.0020246394393832255,0.004647916088831247,0.0031820249278098345,0.9998123645782471,0.0019556181408289424,-0.00031228899024426937,0.004637413192540407
20,1.371358996818474e-05,1.0805293641169555e-05,0.00024011822810848956,0.0020246394393832255,0.004068100772945398,0.0025384544860571623,0.9998562335968018,0.0017116599177445068,-0.0011691488325595856,0.003896476933732629
21,1.5112766232050489e-05,1.1506120245030615e-05,0.0002528672206219879,0.0020246394393832255,0.004197956483911949,0.0025490187108516693,0.9998469352722168,0.0017662969161762673,-0.00021733214089181274,0.004192326683551073
22,1.3324938806493135e-05,1.2768660781148355e-05,0.00021509090033366654,0.0020246394393832255,0.004422279222870857,0.003021383425220847,0.9998301267623901,0.0018606810679819828,-0.0014316360466182232,0.004184133373200893
