epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_residual_mean,val_residual_std
1,0.00895536186539435,0.0008542679715901613,0.0638826321039457,0.0017806980439500808,0.03617183086421408,0.033697545528411865,0.988634467124939,0.015219355787217096,0.0009213521261699498,0.036160096526145935
2,0.00028083430183219855,8.689999231137335e-05,0.008503329920732586,0.0017806980439500808,0.01153674448410453,0.008700472302734852,0.9988438487052917,0.004854103724771913,-0.005329149775207043,0.010232137516140938
3,4.9945540272996626e-05,3.551223562681116e-05,0.0021749623475832524,0.0017806980439500808,0.007375007113817237,0.004187604878097773,0.9995275139808655,0.0031030460586800707,0.0016355448169633746,0.007191364653408527
4,2.758167122790058e-05,2.4801875042612664e-05,0.0012242085166445098,0.0017806980439500808,0.006163333487004474,0.00361275440081954,0.9996700286865234,0.002593232438969289,-0.001418099389411509,0.005997972097247839
5,1.9662602244352457e-05,1.8166454538004473e-05,0.0008353059040387972,0.0017806980439500808,0.0052748299745414284,0.003093559993430972,0.9997583031654358,0.0022193931626238563,-7.47487647458911e-05,0.005274300463497639
6,1.635984078477902e-05,1.431998134648893e-05,0.000830433287849513,0.0017806980439500808,0.0046832206527905925,0.002715586917474866,0.9998095035552979,0.0019704725926764826,-0.00041760061867535114,0.004664564970880747
7,1.4257760579182234e-05,1.3140227565600071e-05,0.0008726043730927751,0.0017806980439500808,0.004486160415530302,0.0027444816660135984,0.9998251795768738,0.001887559182137872,-0.0009222666267305613,0.004390337038785219
8,1.2716301820806361e-05,1.0990287591994274e-05,0.0007785032329122353,0.0017806980439500808,0.004102777181650457,0.0024727920535951853,0.999853789806366,0.001726250072262435,-0.00021349795861169696,0.004097218159586191
9,1.9307839452916857e-05,1.1343146979925223e-05,0.0021066000188459093,0.0017806980439500808,0.004168120418116155,0.0026364591903984547,0.9998490810394287,0.001753743343692154,-0.0009556501172482967,0.00405708746984601
10,1.5340170232645636e-05,1.6240179320448078e-05,0.0015893482582661816,0.0017806980439500808,0.004987339384787123,0.003608670784160495,0.9997839331626892,0.0020984310363943988,0.001960299676284194,0.004585932940244675
11,1.4088248307026724e-05,9.62831745709991e-06,0.0014829288864862526,0.0017806980439500808,0.0038401535146000624,0.0024276981130242348,0.9998719096183777,0.0016157507436000886,-0.0007884319056756794,0.003758344566449523
12,1.2013355275744938e-05,9.708012839837465e-06,0.0012478440297407506,0.0017806980439500808,0.003856013783639804,0.002465931698679924,0.9998708367347717,0.0016224239772083884,-0.00048731727292761207,0.0038250966463238
13,1.3779907502404448e-05,1.1764303962991107e-05,0.0014963433422811318,0.0017806980439500808,0.004244792062316856,0.0029392936266958714,0.9998434782028198,0.0017860030608256828,0.0009461645968258381,0.0041379984468221664
14,1.0301665861334186e-05,8.846282980812248e-06,0.0010030502708757673,0.0017806980439500808,0.0036808986010520776,0.002432294189929962,0.9998822808265686,0.0015487439835815578,0.0007802186883054674,0.0035972590558230877
15,1.0144940201176464e-05,1.1893928785866592e-05,0.0010784206684942132,0.0017806980439500808,0.00426811397325997,0.003140757093206048,0.9998417496681213,0.0017958157922191658,-0.0024925286415964365,0.0034646932035684586
16,1.7120162803101785e-05,1.9306540707475506e-05,0.002176970776859498,0.0017806980439500808,0.005437830380039914,0.004498559050261974,0.9997431635856628,0.0022879758443812345,0.00401301821693778,0.003669562516734004
17,1.3103241625295985e-05,1.3602701983472798e-05,0.0016836537863407215,0.0017806980439500808,0.004564425159037315,0.003624234814196825,0.9998190402984619,0.0019204891983568449,0.0031177785713225603,0.0033336812630295753
18,1.2468565637391294e-05,8.439029443252366e-06,0.0015892124106227587,0.0017806980439500808,0.003595171425523353,0.002478536916896701,0.9998877048492432,0.001512674137133844,-0.001242134254425764,0.0033737749326974154
19,1.0645688260930391e-05,1.0597317668725736e-05,0.0013512628328450184,0.0017806980439500808,0.004028758969771112,0.0031129871495068073,0.9998590350151062,0.0016951067910291962,-0.002422929974272847,0.0032187432516366243
20,3.2752990175920004e-05,9.093753760680556e-05,0.0034879104377054135,0.0017806980439500808,0.011801712228791948,0.009804568253457546,0.9987901449203491,0.004965589327855497,0.00456213066354394,0.010884272865951061
21,5.972885496053745e-05,3.729193122126162e-05,0.005096138695055922,0.0017806980439500808,0.007557547830203524,0.006267854943871498,0.9995038509368896,0.0031798503575491363,-0.005805704277008772,0.0048384214751422405
22,6.556137159350329e-05,1.1703092241077684e-05,0.004364527556559424,0.0017806980439500808,0.0042337357066066904,0.0027519119903445244,0.9998443126678467,0.001781351081447179,0.00038665751344524324,0.004216042812913656
23,1.4134864250081591e-05,1.1618300050031394e-05,0.0016019172119237654,0.0017806980439500808,0.004218370906394991,0.0028858575969934464,0.9998454451560974,0.0017748863171420715,-0.0007870548870414495,0.004144296981394291
24,6.930543291413674e-06,4.750645075546345e-06,0.0008555943106022943,0.0017806980439500808,0.0026974267115235356,0.0013820851454511285,0.9999368190765381,0.0011349466104364325,0.0002497158129699528,0.0026858430355787277
25,6.0039781991300905e-06,5.175092155695893e-06,0.0007840925245571057,0.0017806980439500808,0.0028153512516567777,0.001744388253428042,0.9999311566352844,0.0011845635496250807,0.001094430685043335,0.0025939205661416054
26,4.649879961756856e-06,4.515055934461998e-06,0.0005936384621867623,0.0017806980439500808,0.0026296923829196147,0.001471400843001902,0.9999399185180664,0.001106447283158774,-0.0005049657775089145,0.0025807542260736227
27,4.7275896642012026e-06,5.126739324623486e-06,0.0007425731667558933,0.0017806980439500808,0.002802166656208461,0.0017790840938687325,0.999931812286377,0.0011790161099670849,-0.0012902725720778108,0.002487435471266508
28,1.1056861740144087e-05,1.6893296560738236e-05,0.0018194672485732902,0.0017806980439500808,0.005086636330892092,0.004175706300884485,0.999775230884552,0.002140210385552275,-0.003948822617530823,0.0032063487451523542
29,5.0115757923257274e-05,0.00015736097702756524,0.0038101342824640306,0.0017806980439500808,0.015524655610241656,0.013186147436499596,0.9979063868522644,0.006532023720149544,-0.01187925599515438,0.009994909167289734
30,0.000124851045568773,0.00019571273878682405,0.0060321644966214215,0.0017806980439500808,0.017313426211069433,0.015827085822820663,0.9973961710929871,0.007284651816247535,-0.015299483202397823,0.008104350417852402
31,4.9022611996666194e-05,1.017711929307552e-05,0.0034172837871774653,0.0017806980439500808,0.003948079904025304,0.002255931030958891,0.9998645782470703,0.0016611609448602504,2.9752902264590375e-05,0.003947968129068613
32,1.310217383953776e-05,6.9228663051035255e-06,0.0016285784916202635,0.0017806980439500808,0.003256239920068883,0.0020194214303046465,0.999907910823822,0.0013700681632097544,0.0013248444302007556,0.002974539529532194
33,8.575078423486307e-06,4.806387551070657e-06,0.0012064129372523372,0.0017806980439500808,0.002713207117490492,0.001489334856159985,0.999936044216156,0.001141586241528909,0.000697264913469553,0.002622082130983472
34,4.535404644099929e-06,3.684343482746044e-06,0.0006246384223302044,0.0017806980439500808,0.002375491502226462,0.001089688390493393,0.9999510049819946,0.000999491855350432,0.00013092518202029169,0.0023718809243291616
35,3.5786869602816294e-06,3.3515079849166796e-06,0.00035300164914158925,0.0017806980439500808,0.002265653107622667,0.0010119288926944137,0.999955415725708,0.000953277174848159,0.00030888261971995234,0.002244499046355486
36,4.111927936329656e-06,6.350230705720605e-06,0.0006185922859207474,0.0017806980439500808,0.003118661270445,0.0020973640494048595,0.9999155402183533,0.0013121817259649571,0.001126415329053998,0.0029081329703330994
