epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_relative_l2,val_residual_mean,val_residual_std
1,0.017955508264195588,0.004534755367785692,0.0,0.0020246394393832255,0.08333940750823222,0.07394496351480484,0.939667820930481,0.03506518922763454,0.24524094265878274,-0.030856449156999588,0.07741664350032806
2,0.002314141000776241,0.0024545229971408844,0.0,0.0020246394393832255,0.06131362713303685,0.05124744400382042,0.9673440456390381,0.025797806847141207,0.18042615118209052,-0.01061694324016571,0.060387421399354935
3,0.0010368117784512127,0.0007790729287080467,0.0,0.0020246394393832255,0.03454319737796686,0.03088037483394146,0.9896349310874939,0.01453410563863547,0.10164943564702457,-0.008647375740110874,0.03344331681728363
4,0.0005950333062274796,0.0001623134157853201,0.0,0.0020246394393832255,0.015767057066097132,0.010268013924360275,0.9978405237197876,0.0066340145210535065,0.04639735195833649,0.006057144142687321,0.014557166025042534
5,0.000244625208627743,0.00016857126320246607,0.0,0.0020246394393832255,0.01606812706853936,0.011553366668522358,0.9977572560310364,0.006760690206927063,0.047283299446888534,0.004053997341543436,0.01554830651730299
6,0.00015152205095445324,0.0001319505536230281,0.0,0.0020246394393832255,0.014216056293637916,0.010363014414906502,0.9982444643974304,0.0059814284611740005,0.04183325948981615,0.007563871331512928,0.012036781758069992
7,0.00010640694017638452,0.00010611443576635793,0.0,0.0020246394393832255,0.012748547615082585,0.01049056462943554,0.9985882043838501,0.00536397183356772,0.037514848710764596,0.009461479261517525,0.008544347248971462
8,7.083146637240943e-05,4.276712570572272e-05,0.0,0.0020246394393832255,0.008093353813245791,0.005604588892310858,0.9994310140609741,0.0034052915833320285,0.023816122504561908,0.0033380582462996244,0.007372905965894461
9,4.838850812423819e-05,4.5124379539629444e-05,0.0,0.0020246394393832255,0.008313408268949704,0.00546267069876194,0.9993996620178223,0.0034978798481199633,0.024463670593510317,-0.0029504476115107536,0.007772233337163925
10,3.536017296331314e-05,3.0623661587014794e-05,0.0,0.0020246394393832255,0.006848602929812307,0.0046213166788220406,0.9995925426483154,0.0028815606549048144,0.020153223789668245,0.002671186113730073,0.006306197959929705
11,2.7960691618823654e-05,2.7129752197652124e-05,0.0,0.0020246394393832255,0.006446089503566061,0.0038609723560512066,0.9996390342712402,0.002712202485942623,0.018968756836903012,-0.002126629464328289,0.006085188593715429
12,2.4531820195584765e-05,2.7826234145322815e-05,0.0,0.0020246394393832255,0.006528308833357534,0.004647608380764723,0.9996297955513,0.002746796400676448,0.01921070071387464,0.0031243152916431427,0.005732143297791481
13,2.390208949994606e-05,2.6368295948486775e-05,0.0,0.0020246394393832255,0.006354983678652802,0.004294217098504305,0.999649167060852,0.002673869564149201,0.018700661161459842,-0.00331022753380239,0.005424777045845985
14,2.1135889356729524e-05,1.775297278072685e-05,0.0,0.0020246394393832255,0.005214455528767834,0.002841588109731674,0.9997637867927551,0.0021939905178383684,0.015344454974350758,-0.0005864499253220856,0.005181372631341219
15,1.81117323639531e-05,1.8186261513619684e-05,0.0,0.0020246394393832255,0.005277705355792542,0.0033337443601340055,0.9997580647468567,0.002220602983891927,0.015530576555028527,0.001608378253877163,0.005026658531278372
16,1.729071886479182e-05,1.5743322364869528e-05,0.0,0.0020246394393832255,0.0049104534044459,0.002811972750350833,0.9997905492782593,0.0020660811369863563,0.014449876146365611,0.0007496212492696941,0.0048528979532420635
17,1.5252720913849771e-05,1.51074054883793e-05,0.0,0.0020246394393832255,0.004810257622943339,0.0028030204121023417,0.9997990131378174,0.0020239236013949143,0.01415503004960653,0.0010992117458954453,0.004682981409132481
18,1.4365124368648847e-05,1.3871006558474619e-05,0.0,0.0020246394393832255,0.004609219754752128,0.0026173358783125877,0.9998154640197754,0.001939336596269533,0.013563443171822561,0.0008701656479388475,0.004526336211711168
19,1.4845661098661367e-05,1.2934335245518014e-05,0.0,0.0020246394393832255,0.004450875378270379,0.002448517829179764,0.9998279213905334,0.0018727129461803976,0.013097485460969149,0.0004903213703073561,0.004423785489052534
20,1.726809255665608e-05,2.5167790226987563e-05,0.0,0.0020246394393832255,0.006208632212109364,0.004674751777201891,0.9996651411056519,0.0026122919501305204,0.018269993556183108,-0.004060450941324234,0.0046967919915914536
