epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_residual_mean,val_residual_std
1,0.006182220211485401,0.0018406423041597009,0.0165846991886626,0.0008722644857716459,0.05309555424495197,0.04136183112859726,0.975511372089386,0.022340039513257484,0.011948454193770885,0.05173366889357567
2,0.00077528473816023,0.00044172588968649507,0.006221026678430932,0.0008722644857716459,0.02601056974141521,0.021013647317886353,0.994123101234436,0.010943988890384374,0.008583798073232174,0.024553373456001282
3,0.0002098070714661541,0.00012137521844124421,0.0028725764860682507,0.0008722644857716459,0.013634476750526361,0.008851176127791405,0.9983851909637451,0.0057367279366578715,0.001339436392299831,0.013568524271249771
4,8.971176996257984e-05,6.671258597634733e-05,0.001624911365469832,0.0008722644857716459,0.010108280879642549,0.006867796648293734,0.9991124272346497,0.004253075374644748,-0.004004761576652527,0.009281122125685215
5,6.0592370573431253e-05,4.5343185774981976e-05,0.0015162246166285677,0.0008722644857716459,0.00833353861370293,0.0055306944996118546,0.9993967413902283,0.003506349722925825,-0.0015342613914981484,0.008191087283194065
6,4.021602742593839e-05,3.810630732914433e-05,0.0006401616140267329,0.0008722644857716459,0.007639621555796007,0.004819991532713175,0.9994930028915405,0.003214383009082963,0.0026793431024998426,0.007154365535825491
7,3.394914357260051e-05,3.097465742030181e-05,0.0007960804702484929,0.0008722644857716459,0.006887739096142976,0.004074660129845142,0.999587893486023,0.0028980272595887212,0.0019529109122231603,0.006605079863220453
8,2.79179320285847e-05,3.0476196116069332e-05,0.0005033201917345698,0.0008722644857716459,0.0068320937824325155,0.004368640016764402,0.999594509601593,0.002874614404695367,0.002738084178417921,0.006259424611926079
9,2.5915666204430938e-05,2.858785774151329e-05,0.0006471456924933396,0.0008722644857716459,0.0066170462735558,0.004195030778646469,0.9996196627616882,0.0027841328208066335,-0.001441395957954228,0.006458147894591093
10,2.4525384408965085e-05,2.0473957192734815e-05,0.0006119440480523633,0.0008722644857716459,0.005599822918008811,0.0030855340883135796,0.9997276067733765,0.0023561344642608283,-0.000305265566566959,0.005591496359556913
11,2.2666774384560995e-05,1.948769022419583e-05,0.0005190291330839721,0.0008722644857716459,0.005463282452223763,0.0030913660302758217,0.999740719795227,0.0022986848445295006,0.0006450674263760448,0.0054250662215054035
12,2.1239072339085396e-05,1.8516026102588512e-05,0.0006604127643470817,0.0008722644857716459,0.005325340439000539,0.003050893545150757,0.9997536540031433,0.0022406455214681337,0.000981282675638795,0.005234151147305965
13,1.9554195003163637e-05,1.80514052772196e-05,0.0006113750819658122,0.0008722644857716459,0.005258101656753781,0.0030952950473874807,0.9997598528862,0.002212354696114169,-0.0013321152655407786,0.005086560267955065
14,1.9764657230957204e-05,2.2583633835893124e-05,0.0007307242706889522,0.0008722644857716459,0.005881260565029396,0.004093408118933439,0.9996995329856873,0.002474549805137618,0.003102927701547742,0.004996105097234249
15,2.164852953178019e-05,2.4513094103895128e-05,0.0009774805532589356,0.0008722644857716459,0.00612734672159519,0.004497020039707422,0.9996738433837891,0.002578090949768728,-0.0034211569000035524,0.005083312280476093
