epoch,train_loss,val_loss,train_grad_norm,learning_rate,val_rmse,val_mae,val_r2,val_nrmse,val_relative_l2,val_residual_mean,val_residual_std
1,0.02012091435285078,0.001544281141832471,0.0,0.0020246394393832255,0.04863362914858961,0.032907865941524506,0.9794542789459229,0.020462677380487067,0.14311298681384532,-0.008679892867803574,0.047852784395217896
2,0.0023021620840558577,0.002586403861641884,0.0,0.0020246394393832255,0.0629392588385283,0.0503365695476532,0.9655894637107849,0.026481793991660674,0.18520989813535801,0.0028672306798398495,0.06287391483783722
3,0.0012490708710780989,0.0002724154037423432,0.0,0.0020246394393832255,0.020426277303171005,0.015756184235215187,0.9963756799697876,0.008594388900365976,0.06010793175612502,-0.004503494128584862,0.019923638552427292
4,0.00046064173511695117,0.0005635211709886789,0.0,0.0020246394393832255,0.029378427802624146,0.0268416628241539,0.9925026893615723,0.012361020565302874,0.08645120933958873,-0.00520546967163682,0.028913579881191254
5,0.0003185879807764043,0.00017028064758051187,0.0,0.0020246394393832255,0.016149388302950138,0.011514563113451004,0.997734546661377,0.00679488100149449,0.04752242206308644,0.006744858343154192,0.01467343233525753
6,0.00015450772075887976,0.00012994962162338197,0.0,0.0020246394393832255,0.014107853179466447,0.008828535676002502,0.998271107673645,0.005935901827533521,0.04151484369264391,0.00011129101039841771,0.014107413589954376
7,0.0001018413378106844,5.5250908189918846e-05,0.0,0.0020246394393832255,0.009199052090866374,0.0062176622450351715,0.9992648959159851,0.003870515905086482,0.027069833863084952,-0.0017629199428483844,0.009028547443449497
8,6.868602455748866e-05,5.97042017034255e-05,0.0,0.0020246394393832255,0.009562596183297805,0.007023651618510485,0.9992056488990784,0.004023477664413095,0.028139627306238903,0.0016240072436630726,0.009423685260117054
9,4.8173287521219914e-05,5.7898680097423494e-05,0.0,0.0020246394393832255,0.009416894480572114,0.007278519216924906,0.9992296695709229,0.0039621734395617215,0.027710878731133128,-0.006114741321653128,0.007161553017795086
10,3.4942982488751615e-05,3.132039637421258e-05,0.0,0.0020246394393832255,0.006926072706646987,0.004542424809187651,0.9995833039283752,0.0029141561876227825,0.020381195981305646,0.0023281120229512453,0.006523065268993378
11,2.5450320107564847e-05,2.270524055347778e-05,0.0,0.0020246394393832255,0.005897071951984622,0.0035661221481859684,0.9996979236602783,0.002481202471530544,0.01735317259567173,-0.0006610549753531814,0.005859903525561094
12,2.0538210770205802e-05,1.9947287000832148e-05,0.0,0.0020246394393832255,0.005527329162639065,0.0031387421768158674,0.99973464012146,0.0023256326005463433,0.01626514120533334,0.00019877862359862775,0.005523753818124533
13,1.8462555393246777e-05,1.8735105186351575e-05,0.0,0.0020246394393832255,0.005356752216554201,0.003180635394528508,0.9997507333755493,0.0022538620771988273,0.015763185925541722,0.00039813286275602877,0.005341935902833939
14,1.7138375874815716e-05,1.7336913515464403e-05,0.0,0.0020246394393832255,0.005152990120280731,0.003021837444975972,0.9997693300247192,0.0021681288487433344,0.015163582084401765,-0.0006709409644827247,0.005109123885631561
15,1.5829053558667914e-05,1.5742147297714837e-05,0.0,0.0020246394393832255,0.004910270407595047,0.002799823647364974,0.9997905492782593,0.0020660041407681794,0.014449333375891885,-0.00038291356759145856,0.004895317368209362
16,1.4964757307704227e-05,1.4674198610009626e-05,0.0,0.0020246394393832255,0.004740789175364975,0.002658361103385687,0.9998047947883606,0.0019946946407805163,0.013950607508813332,0.00042751230648718774,0.004721473436802626
17,1.3831062763832355e-05,1.377083026454784e-05,0.0,0.0020246394393832255,0.004592545787512366,0.002592704724520445,0.9998167753219604,0.0019323209978399439,0.01351437471604082,0.0004895116435363889,0.004566383082419634
18,1.3219654647400603e-05,1.2963408153154887e-05,0.0,0.0020246394393832255,0.0044558762579786845,0.00246343482285738,0.99982750415802,0.0018748170743296052,0.013112200412466607,-0.00021792059123981744,0.004450544249266386
19,1.2537945116895975e-05,1.2346340554358903e-05,0.0,0.0020246394393832255,0.004348531098212794,0.0023873448371887207,0.999835729598999,0.0018296514263798067,0.012796320885766585,-0.0002759789349511266,0.0043397643603384495
20,1.1888818133027396e-05,1.1764886039600242e-05,0.0,0.0020246394393832255,0.004244898548851521,0.0023652317468076944,0.9998434782028198,0.0017860478652057456,0.012491364077808275,-0.0004245432501193136,0.004223615396767855
21,1.1535043793426465e-05,1.127261930378154e-05,0.0,0.0020246394393832255,0.00415514247086386,0.002241860143840313,0.9998500347137451,0.0017482828515937065,0.012227238217017268,5.841526945005171e-05,0.004154731519520283
22,1.1309007883634573e-05,1.0838572052307427e-05,0.0,0.0020246394393832255,0.004074361208568027,0.002187707694247365,0.9998558163642883,0.0017142940060626082,0.011989526947262255,5.119655907037668e-05,0.004074039403349161
23,1.0706921077346326e-05,1.0331531484553125e-05,0.0,0.0020246394393832255,0.003977917673466994,0.002177295507863164,0.999862551689148,0.0016737152341561043,0.011705723866658588,8.062181586865336e-05,0.00397710083052516
24,1.0446313050730774e-05,1.0261707757308614e-05,0.0,0.0020246394393832255,0.0039644526952504295,0.0021784459240734577,0.9998634457588196,0.0016680498229991654,0.011666103054188645,0.0004941061488352716,0.003933541476726532
25,1.0061705830190072e-05,9.776851584319957e-06,0.0,0.0020246394393832255,0.0038696612515060395,0.0021088477224111557,0.9998699426651001,0.001628166171177794,0.011387159845887326,0.0003725837741512805,0.0038516828790307045
26,9.75982074022694e-06,9.478778338234406e-06,0.0,0.0020246394393832255,0.003810216417790471,0.002033452969044447,0.9998738765716553,0.0016031546621550574,0.011212235949468304,-0.00028665419085882604,0.003799418220296502
27,9.495172333926246e-06,9.360755029774737e-06,0.0,0.0020246394393832255,0.0037864209275308884,0.002037458121776581,0.9998754858970642,0.0015931426715054457,0.011142212113853321,-0.0004405101644806564,0.003760708961635828
28,9.35714009150009e-06,9.084963494387921e-06,0.0,0.0020246394393832255,0.003730224888817356,0.001977497711777687,0.9998791217803955,0.001569498098184729,0.01097684541731929,-0.0002951769274659455,0.0037185277324169874
29,9.326830119486354e-06,8.918719686334953e-06,0.0,0.0020246394393832255,0.003695938205980034,0.0019990517757833004,0.9998813271522522,0.0015550719214500333,0.010875950973969106,0.00018478922720532864,0.003691315883770585
30,9.013856924866559e-06,8.57778013596544e-06,0.0,0.0020246394393832255,0.0036246068281110696,0.0018759181257337332,0.9998858571052551,0.0015250591299312544,0.010666042011843865,-2.2030410036677495e-05,0.0036245398223400116
31,8.717050655428062e-06,8.372755473828875e-06,0.0,0.0020246394393832255,0.0035810269940623114,0.0018610089318826795,0.9998885989189148,0.0015067228449357356,0.010537803536725631,1.6920606867643073e-05,0.0035809872206300497
32,8.623582592311626e-06,8.36854633234907e-06,0.0,0.0020246394393832255,0.0035801270442187088,0.0018483394524082541,0.9998886585235596,0.001506344189597225,0.010535155561512124,0.00025783840101212263,0.0035708302166312933
33,8.624040169201584e-06,8.182422789104749e-06,0.0,0.0020246394393832255,0.003540090702354389,0.001841760240495205,0.9998911619186401,0.001489498834615358,0.010417342146192016,0.000341150036547333,0.0035236147232353687
34,8.475860037530461e-06,8.148496817739215e-06,0.0,0.0020246394393832255,0.003532744107573361,0.0018630664562806487,0.9998915791511536,0.0014864077430912185,0.010395720118191178,-0.0002842112153302878,0.003521293168887496
35,8.338458883372368e-06,7.87689168646466e-06,0.0,0.0020246394393832255,0.003473368664054319,0.001776701770722866,0.9998952150344849,0.0014614254301048408,0.010220999581685793,0.00029846985125914216,0.003460521111264825
36,8.287076020173521e-06,7.756645572953857e-06,0.0,0.0020246394393832255,0.0034467548532372987,0.0017630712827667594,0.9998968243598938,0.0014502276265654396,0.010142683101141758,-0.0002557691768743098,0.003437252016738057
37,8.027023745348237e-06,7.73396277509164e-06,0.0,0.0020246394393832255,0.0034417117773988502,0.0017596939578652382,0.9998971223831177,0.0014481057443268715,0.010127843555894394,0.00023072421026881784,0.003433969570323825
38,7.993671361974622e-06,7.724103852524422e-06,0.0,0.0020246394393832255,0.0034395168236503234,0.0018226399552077055,0.9998972415924072,0.0014471822140206308,0.010121385446524293,-0.0006210869760252535,0.0033829761669039726
39,8.007391847463117e-06,7.701000868109986e-06,0.0,0.0020246394393832255,0.0034343692417678584,0.0018075472908094525,0.9998975396156311,0.001445016360696613,0.01010623656507027,0.00041569239692762494,0.0034091186244040728
40,7.935717500610432e-06,7.466233455488691e-06,0.0,0.0020246394393832255,0.003381614957453968,0.001752546988427639,0.9999006390571594,0.0014228199110536,0.009950998481136312,-0.00044068071292713284,0.0033527782652527094
41,7.759606685592897e-06,7.325599653995596e-06,0.0,0.0020246394393832255,0.0033496157853170148,0.001719146966934204,0.9999025464057922,0.0014093562081109188,0.009856836396617228,-0.00044351586257107556,0.003320123301818967
42,7.717638507326936e-06,7.624495083291549e-06,0.0,0.0020246394393832255,0.0034172675252163416,0.001844673533923924,0.9998985528945923,0.0014378207860588036,0.01005591286306103,0.0004409336543176323,0.0033887012396007776
43,7.663608408216129e-06,7.032802841422381e-06,0.0,0.0020246394393832255,0.0032819933648846767,0.0016177911311388016,0.9999064207077026,0.0013809039663757424,0.009657844424785428,9.197879990097135e-06,0.0032819805201143026
44,7.702109643206415e-06,7.281609669007594e-06,0.0,0.0020246394393832255,0.003339543871582119,0.0017723803175613284,0.99990314245224,0.00140511843427069,0.009827198121316437,0.0006950885872356594,0.0032664057798683643
45,7.692082363064401e-06,6.997692707955139e-06,0.0,0.0020246394393832255,0.0032737905788115577,0.0016410129610449076,0.9999068975448608,0.0013774526309937465,0.009633705459825292,0.0002005531860049814,0.003267641644924879
46,7.472668635778569e-06,7.3291616899950895e-06,0.0,0.0020246394393832255,0.0033504303883158445,0.001805516192689538,0.9999024868011475,0.0014096989536277564,0.009859233036162823,-0.0007095741457305849,0.003274429589509964
47,7.495070955580256e-06,6.985828349570511e-06,0.0,0.0020246394393832255,0.0032710139315324216,0.0016777818091213703,0.9999070763587952,0.0013762843522025674,0.00962553669259011,0.00025926370290108025,0.0032607230823487043
48,7.423847465462232e-06,6.745241989847273e-06,0.0,0.0020246394393832255,0.0032141948514155896,0.0015809362521395087,0.9999102354049683,0.0013523776332132341,0.009458334744441091,0.00028907330124638975,0.003201169427484274
49,7.1538613358118e-06,6.67400172460475e-06,0.0,0.0020246394393832255,0.003197176468853336,0.0015652877045795321,0.9999111890792847,0.001345217121484917,0.009408256649651494,0.0002445078280288726,0.0031878133304417133
50,7.1300365662965405e-06,6.6100151343562175e-06,0.0,0.0020246394393832255,0.0031818126976482825,0.0015378482639789581,0.9999120831489563,0.0013387527901360043,0.009363047019836654,-1.3572962416219525e-05,0.003181783715263009
51,7.017504028933925e-06,6.552724698849488e-06,0.0,0.0020246394393832255,0.0031679944036507226,0.0015335233183577657,0.9999127984046936,0.0013329387207981624,0.009322380049501125,-0.00010374169505666941,0.0031662953551858664
52,7.000984169280855e-06,6.568590833921917e-06,0.0,0.0020246394393832255,0.0031718271566259035,0.0015510282246395946,0.9999126195907593,0.0013345513577529453,0.009333660080203775,-0.00028832111274823546,0.0031586955301463604
53,7.0373360156534345e-06,6.582920832443051e-06,0.0,0.0020246394393832255,0.003175284665847874,0.001561617129482329,0.999912440776825,0.0013360061102973848,0.00934383595250209,0.00010830543760675937,0.003173437202349305
54,7.213919212113575e-06,6.425534593290649e-06,0.0,0.0020246394393832255,0.003137097421727726,0.0014939754037186503,0.9999145269393921,0.0013199387661538284,0.009231462414871822,0.00010205437865806744,0.0031354371458292007
55,6.9898951551294886e-06,6.41525457467651e-06,0.0,0.0020246394393832255,0.003134587339605926,0.0015171930426731706,0.9999146461486816,0.0013188826450796641,0.00922407701293777,-0.0003164379741065204,0.0031185741536319256
