family,trial_number,state,value,duration_seconds,elapsed_seconds,best_epoch,n_hidden,batch_size,learning_rate,weight_decay,readout_width,readout_depth,feature_width,feature_depth,checkpoint_path
rnn,18,TrialState.COMPLETE,7.497450496884994e-06,1229.184545,1229.167839958005,206,24,8,0.0011056656091057307,5.541886649530144e-05,96,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0018.pt
rnn,19,TrialState.COMPLETE,6.7419623519526795e-06,1497.557124,1497.5407620829938,219,48,8,0.002785012171077625,5.893644248595539e-06,96,3,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0019.pt
rnn,20,TrialState.COMPLETE,6.739361197105609e-06,1451.742954,1451.7244442499941,213,36,8,0.0004868381301659726,5.1075210179839083e-05,96,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0020.pt
rnn,21,TrialState.COMPLETE,6.512632353405934e-06,2215.36313,2215.336983791989,216,40,8,0.0011583143973731326,2.2695859288772835e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0021.pt
rnn,22,TrialState.COMPLETE,5.892688477615593e-06,2624.802325,2624.7491348339972,207,44,8,0.001167065449470938,3.7722931542229385e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0022.pt
rnn,23,TrialState.COMPLETE,6.994539035076741e-06,2253.599073,2253.5665181249933,210,44,8,0.002584845655106127,8.169756928071128e-06,96,3,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0023.pt
rnn,24,TrialState.COMPLETE,6.830515303590801e-06,2423.240206,2423.2137038329965,207,32,8,0.001335035070599725,3.410511375138862e-06,64,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0024.pt
rnn,25,TrialState.COMPLETE,6.465937076427508e-06,2450.041935,2450.0199046250054,211,44,8,0.0009013340476645134,3.7151915907069416e-05,96,3,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0025.pt
rnn,26,TrialState.COMPLETE,6.9072698352101725e-06,2537.077574,2537.034452915992,219,36,8,0.0006341916760009589,9.061028607584506e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0026.pt
rnn,27,TrialState.COMPLETE,7.031839686533203e-06,3261.431948,3261.3529656659957,218,44,8,0.0029349964815141754,1.894611332683104e-06,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0027.pt
rnn,28,TrialState.COMPLETE,7.281597845576471e-06,1575.330999,1575.292735791998,208,48,16,0.00034465987689573987,0.0006493224511851818,96,3,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0028.pt
rnn,29,TrialState.COMPLETE,8.541441275156103e-06,673.767647,673.7326178749936,214,28,32,0.0008556382550548144,2.7414244155852768e-06,64,3,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0029.pt
