parameter,importance
WEIGHT_DECAY,0.00513465997682369
LEARNING_RATE,0.008700303367365892
FEATURE_DEPTH,0.016716140217965168
FEATURE_WIDTH,0.019233277061853925
GRAD_CLIP_VALUE,0.09473651745015463
READOUT_WIDTH,0.10934365686484378
BATCH_SIZE,0.16673557870667616
READOUT_DEPTH,0.2771477668000472
N_HIDDEN,0.30225209955426935
