family,n_trials,min_loss,median_loss,mean_loss,mean_runtime_minutes,median_runtime_minutes,min_runtime_minutes,max_runtime_minutes
gru,30,8.36028618778073e-07,1.1961692507611588e-06,2.4237129916097426e-06,31.725732950231667,29.86237441597489,10.305599920132954,56.66302878820012
rnn,30,5.440689619717887e-06,7.02488455317507e-06,7.515645332508333e-06,26.48977470414163,24.43159987951664,8.928144547916599,54.35588276109993
lstm,30,5.611887900158763e-06,6.391925353455008e-06,6.9752362984824385e-06,26.260092747152264,29.840648989583375,8.103786723599963,41.19829064999988
