number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_FEATURE_DEPTH,params_FEATURE_WIDTH,params_GRAD_CLIP_VALUE,params_LEARNING_RATE,params_N_HIDDEN,params_READOUT_DEPTH,params_READOUT_WIDTH,params_WEIGHT_DECAY,user_attrs_best_epoch,user_attrs_checkpoint_path,user_attrs_config,user_attrs_elapsed_seconds,state
10,5.981978574709501e-06,2026-03-29 11:00:49.841994,2026-03-29 11:32:38.930182,0 days 00:31:49.088188,8,1,32,0.5,0.0017806980439500808,48,4,96,1.8044989047379548e-05,205,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0010.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0017806980439500808, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0010"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260338, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.8044989047379548e-05}",1909.0717619170027,COMPLETE
11,6.076928912079893e-06,2026-03-29 11:32:39.012240,2026-03-29 12:03:45.582685,0 days 00:31:06.570445,8,1,32,0.5,0.0018177929193890178,48,4,96,1.8123914365651553e-05,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0011.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0018177929193890178, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0011"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260339, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.8123914365651553e-05}",1866.5533077500004,COMPLETE
12,6.031742486811709e-06,2026-03-29 12:03:45.666191,2026-03-29 12:34:56.485833,0 days 00:31:10.819642,8,1,32,0.5,0.002050622083636283,48,4,96,2.494389509143592e-05,212,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0012.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.002050622083636283, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0012"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260340, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 2.494389509143592e-05}",1870.8028019579942,COMPLETE
13,5.913087534281658e-06,2026-03-29 12:34:56.594336,2026-03-29 13:06:27.370030,0 days 00:31:30.775694,8,1,96,0.5,0.0001014003804210052,40,4,96,1.225217127135918e-06,206,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0013.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0001014003804210052, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0013"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260341, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.225217127135918e-06}",1890.758837457979,COMPLETE
14,6.1614832702616695e-06,2026-03-29 13:06:27.459034,2026-03-29 13:37:58.979232,0 days 00:31:31.520198,8,1,96,0.5,0.00013526051541629767,40,4,64,1.0854259500483164e-06,207,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0014.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00013526051541629767, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0014"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 64, ""SEED"": 20260342, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.0854259500483164e-06}",1891.4848679999996,COMPLETE
15,5.956604127277387e-06,2026-03-29 13:37:59.071857,2026-03-29 14:15:21.178391,0 days 00:37:22.106534,8,1,96,0.5,0.00010921668619921638,20,4,96,1.3696344190708725e-06,209,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0015.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00010921668619921638, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0015"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 20, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260343, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.3696344190708725e-06}",2242.0862248330086,COMPLETE
16,6.32294222668861e-06,2026-03-29 14:15:21.275573,2026-03-29 14:42:30.465414,0 days 00:27:09.189841,8,1,96,0.5,0.00010070959311310102,20,3,96,1.1352522686499398e-06,206,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0016.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00010070959311310102, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0016"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 20, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 96, ""SEED"": 20260344, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.1352522686499398e-06}",1629.1648449589848,COMPLETE
17,6.955260687391274e-06,2026-03-29 14:42:30.561801,2026-03-29 15:23:42.478645,0 days 00:41:11.916844,8,1,96,1.0,0.00010417842075164838,24,4,64,3.429885760293967e-06,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0017.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 1.0, ""LEARNING_RATE"": 0.00010417842075164838, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0017"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 24, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 64, ""SEED"": 20260345, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 3.429885760293967e-06}",2471.897438999993,COMPLETE
18,5.96974314248655e-06,2026-03-29 15:23:42.580476,2026-03-29 16:04:00.874147,0 days 00:40:18.293671,8,1,96,0.5,0.00027246860672214046,36,3,96,3.6626957632068167e-06,204,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0018.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00027246860672214046, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0018"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 36, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 96, ""SEED"": 20260346, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 3.6626957632068167e-06}",2418.247102207999,COMPLETE
19,5.611887900158763e-06,2026-03-29 16:04:00.954070,2026-03-29 16:37:26.713288,0 days 00:33:25.759218,8,2,96,0.5,0.00016677901274148637,24,4,96,6.119232523850798e-05,214,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0019.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00016677901274148637, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0019"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 24, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260347, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 6.119232523850798e-05}",2005.7427040420007,COMPLETE
