parameter,importance
BATCH_SIZE,0.014165963145676337
WEIGHT_DECAY,0.02247144511432753
FEATURE_DEPTH,0.03146670435274453
READOUT_DEPTH,0.03746972550477779
READOUT_WIDTH,0.06157156919182413
FEATURE_WIDTH,0.07308894410590684
LEARNING_RATE,0.0950276727893216
GRAD_CLIP_VALUE,0.1596208096463788
N_HIDDEN,0.5051171661490425
