parameter,importance
WEIGHT_DECAY,0.01722395880166939
FEATURE_DEPTH,0.027335434887444388
LEARNING_RATE,0.031499578135292215
BATCH_SIZE,0.05618738220338542
N_HIDDEN,0.06007243205282322
GRAD_CLIP_VALUE,0.062373837107952676
READOUT_WIDTH,0.18379326083491637
FEATURE_WIDTH,0.26466826720713493
READOUT_DEPTH,0.2968458487693813
