number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_FEATURE_DEPTH,params_FEATURE_WIDTH,params_GRAD_CLIP_VALUE,params_LEARNING_RATE,params_N_HIDDEN,params_READOUT_DEPTH,params_READOUT_WIDTH,params_WEIGHT_DECAY,user_attrs_best_epoch,user_attrs_checkpoint_path,user_attrs_config,user_attrs_elapsed_seconds,state
10,6.773433597118128e-06,2026-03-28 04:23:04.819093,2026-03-28 04:47:27.841341,0 days 00:24:23.022248,8,1,32,0.5,0.0017806980439500808,48,4,96,1.8044989047379548e-05,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0010.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0017806980439500808, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0010"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260338, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.8044989047379548e-05}",1463.0037494580029,COMPLETE
11,5.440689619717887e-06,2026-03-28 04:47:27.922749,2026-03-28 05:11:43.998345,0 days 00:24:16.075596,8,1,32,0.5,0.0018177929193890178,48,4,96,1.8123914365651553e-05,215,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0011.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0018177929193890178, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0011"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260339, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.8123914365651553e-05}",1456.059332040997,COMPLETE
12,6.757098617526935e-06,2026-03-28 05:11:44.079398,2026-03-28 05:36:08.549160,0 days 00:24:24.469762,8,1,32,0.5,0.002050622083636283,48,4,96,2.494389509143592e-05,207,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0012.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.002050622083636283, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0012"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260340, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 2.494389509143592e-05}",1464.4537107919969,COMPLETE
13,6.674776614090661e-06,2026-03-28 05:36:08.631878,2026-03-28 06:01:49.259934,0 days 00:25:40.628056,8,1,96,0.5,0.0001014003804210052,40,4,96,1.225217127135918e-06,204,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0013.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0001014003804210052, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0013"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260341, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.225217127135918e-06}",1540.6110035829988,COMPLETE
14,6.89014495947049e-06,2026-03-28 06:01:49.346247,2026-03-28 06:26:16.701691,0 days 00:24:27.355444,8,1,96,0.5,0.00013526051541629767,40,4,64,1.0855418704983303e-06,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0014.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00013526051541629767, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0014"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 64, ""SEED"": 20260342, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.0855418704983303e-06}",1467.33827475,COMPLETE
15,7.623983492521802e-06,2026-03-28 06:26:16.783570,2026-03-28 06:50:56.426356,0 days 00:24:39.642786,8,1,96,0.5,0.00010921668619921638,20,4,96,1.370286508664745e-06,213,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0015.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.00010921668619921638, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0015"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 20, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260343, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.370286508664745e-06}",1479.626800500002,COMPLETE
16,6.194527941261185e-06,2026-03-28 06:50:56.508427,2026-03-28 07:11:53.654837,0 days 00:20:57.146410,8,1,96,0.5,0.0009554330162453025,36,3,96,3.83340094419606e-06,220,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0016.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0009554330162453025, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0016"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 36, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 96, ""SEED"": 20260344, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 3.83340094419606e-06}",1257.129867249998,COMPLETE
17,7.017929419816937e-06,2026-03-28 07:11:53.734885,2026-03-28 07:32:31.572649,0 days 00:20:37.837764,8,1,96,1.0,0.0007371415384109682,36,3,64,4.465847014845103e-06,190,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0017.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 1.0, ""LEARNING_RATE"": 0.0007371415384109682, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0017"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 36, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 64, ""SEED"": 20260345, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 4.465847014845103e-06}",1237.8214981249985,COMPLETE
18,7.497450496884994e-06,2026-03-28 07:32:31.649930,2026-03-28 07:53:00.834475,0 days 00:20:29.184545,8,1,32,0.5,0.0011056656091057307,24,3,96,5.541886649530144e-05,206,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0018.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.0011056656091057307, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0018"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 24, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 96, ""SEED"": 20260346, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 5.541886649530144e-05}",1229.167839958005,COMPLETE
19,6.7419623519526795e-06,2026-03-28 07:53:00.930116,2026-03-28 08:17:58.487240,0 days 00:24:57.557124,8,2,96,0.5,0.002785012171077625,48,3,96,5.893644248595539e-06,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0019.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 96, ""GRAD_CLIP_VALUE"": 0.5, ""LEARNING_RATE"": 0.002785012171077625, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0019"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 48, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 96, ""SEED"": 20260347, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 5.893644248595539e-06}",1497.5407620829938,COMPLETE
